displaytitle,description,class
How to Make Fabric Wrapped Ball Ornaments,Continue in this manner until the whole ball has been covered,21-30secs
How to Make Fabric Wrapped Ball Ornaments,Attach ribbon string or other trim to the top of the ball so that it can hang from a tree or other display area,51-60secs
How to Deal With a Spouse Who Brings the Laptop to Bed,Ask your spouse why he or she wants to bring the laptop to bed,1-10secs
How to Mend a Relationship With an Estranged Son or Daughter,Be clear on what went wrong,41-50secs
How to Decorate Cookies for a Bachelorette Party,Roll out the dough,21-30secs
How to Decorate Cookies for a Bachelorette Party,Bake the cookies,1-10secs
How to Decorate Cookies for a Bachelorette Party,Divide the icing,31-40secs
How to Tar a Directory,Understand the format,31-40secs
How to Remove the Battery from an iPhone,Remove the screws at the bottom of the iPhone,11-20secs
How to Get Into an Aircraft Cockpit (for Kids),As you pass the cockpit peek in!,1-10secs
How to Make Your Cell Phone Battery Last Longer,Clean the battery contacts on the battery and on the phone,11-20secs
How to Root a Motorola Droid,Set you phone to install from unknown sources,51-60secs
How to Have Great Sex After Having a Baby,Have an honest conversation,11-20secs
How to Win over Your Boyfriend's Mum,Invite her places,21-30secs
How to Learn About Genealogy,Join a genealogical society,41-50secs
How to Learn About Genealogy,Subscribe to a genealogy website,11-20secs
How to Be a Protective Boyfriend,Ask your partner what they want from you.If you want to know what your partner expects from you and how you can best protect them be direct,21-30secs
How to Optimize Windows,Back up all of your important data,41-50secs
How to Save an iPod from Water,Remove the iPod from the water,11-20secs
How to Start Dating,Make your first date low-key,1-10secs
How to Start Dating,Know that dates are a way to get to know someone not a test to impress them,1-10secs
How to Put an iPod or iPhone into Recovery Mode,Disconnect your device from the computer,1-10secs
How to Use the iPod Touch,Unpack your hardware,41-50secs
How to Deal with a Demanding Host at Family Events,Take the host aside,11-20secs
How to Deal with a Demanding Host at Family Events,Apologize and forgive,31-40secs
How to Become an Activist,Read up on your cause,41-50secs
How to Become an Activist,Listen to the people most affected,11-20secs
How to Become an Activist,Talk to other activists,11-20secs
How to Fix the Volume on Your Computer in Windows,Check the volume,1-10secs
How to Avoid Common Law Marriage in Texas,File your taxes separately,21-30secs
How to Make Sex Important in a Relationship,Physically connect with your partner,31-40secs
How to Make Oreo Pudding Poke Cake,Bake the cake in a 9x13 inch (22cm x 28cm) baking pan,1-10secs
How to Upcycle Old Decorations Into an Heirloom Christmas Wreath,Choose which decorations you want to form a part of the wreath,21-30secs
How to Upcycle Old Decorations Into an Heirloom Christmas Wreath,Draw a design on paper of the same size as the real wreath,31-40secs
How to Upcycle Old Decorations Into an Heirloom Christmas Wreath,Decide on how you will attach the decorations,1-10secs
How to Upcycle Old Decorations Into an Heirloom Christmas Wreath,Carefully transfer each decoration from the paper design to the wreath,21-30secs
How to Upcycle Old Decorations Into an Heirloom Christmas Wreath,Add any other decorative elements such as tinsel to finish off the piece,31-40secs
How to Help the Homeless,Support economic initiatives that help the homeless,51-60secs
How to Change Your Mail Background Picture (Windows 10),Select the picture to use as background,1-10secs
How to Make Beer Can Christmas Ornaments,Wash out the beer cans and allow to dry,21-30secs
How to Access God Mode in Windows,This Folder is your gateway to the God Mode of Windows 7,1-10secs
How to Walk to School Safely,Take a water bottle with you,11-20secs
How to Make Sour Cream Cornbread,Combine the wet and dry ingredients,51-60secs
How to Make Sour Cream Cornbread,Spread the batter in the pans,41-50secs
How to Make Sour Cream Cornbread,Bake the cornbread loaves,51-60secs
How to Make Your Husband Miss You,Think about his needs,51-60secs
How to Make Your Husband Miss You,Move past mistakes,41-50secs
How to Make Cake in a Mug,Lightly grease the inside of a large microwave-safe mug,1-10secs
How to Safely Meet a Person You Met Online,Keep personal information off your profiles,21-30secs
How to Safely Meet a Person You Met Online,Take it slow,1-10secs
How to Make Cheese Croutons,Place each piece of bread under the griller/broiler,21-30secs
How to Handle a Dog Given to You As a Gift,Express gratitude,21-30secs
How to Make Brownies from Scratch,Bake the brownies,51-60secs
How to Deal with Social Media Fails,Admit your mistake right away,41-50secs
How to Give a Chocolate Box of Money,Decide how much money you want to give,21-30secs
How to Diagnose and Replace a Failed PC Power Supply,Make sure that everything is plugged in,11-20secs
How to Diagnose and Replace a Failed PC Power Supply,Hit the power button,31-40secs
How to Diagnose and Replace a Failed PC Power Supply,Check the fan in your computer,31-40secs
How to Cook Fried Bread,Cook the fried meal that accompanies the bread (optional),51-60secs
How to Cook Fried Bread,Cook for a few seconds or until golden brown,31-40secs
How to Transfer Music from iPhone to Computer,Open SharePod,21-30secs
How to Get a Pisces Man,Be sensitive and gentle around him,11-20secs
How to Stop iTunes from Opening Automatically when You Connect Your iPhone,Open your computer's iTunes,11-20secs
How to Store Christmas Lights,Get an empty can of Pringles,21-30secs
How to Find Good Friends,Introduce yourself,51-60secs
How to Download a File,Open a browsing app,11-20secs
How to Download a File,Navigate to a photo you wish to save,41-50secs
How to Download a File,Tap the IMAGES tab,11-20secs
How to Download a File,Tap a photo you wish to save,1-10secs
How to Download a File,Tap and hold the photo,31-40secs
How to Download a File,Tap Save Image,41-50secs
How to Determine if Your Spouse is Cheating,Look out for unusual behavior.When they answer their cell phone do they often flee somewhere out of earshot or cover the screen when texting?,31-40secs
How to Care for a Pearl Gourami,Know your fish!,21-30secs
How to Stop a Cake from Browning Too Much,Check that the cake pan is deep enough for the cake,11-20secs
How to Celebrate Easter,Pay attention to the significance of different days of Easter weekend,21-30secs
How to Celebrate Easter,Focus on the personal meaning this holiday has for you,11-20secs
How to Fix an Almost Full Startup Disk for Mac OS X,Know what the message looks like,11-20secs
How to Make a Child Feel Valued,Be consistent,31-40secs
How to Make a Child Feel Valued,Try to spend quality time with your child every day,51-60secs
How to Make a Child Feel Valued,Show that you value your own well-being,41-50secs
How to Make a Child Feel Valued,Set appropriate rules and boundaries,11-20secs
How to Make a Child Feel Valued,Be there for them when they're struggling,11-20secs
How to Bury a Pet,Check your pet,11-20secs
How to Make a Dead Prom Queen Costume,Decide what your story is,11-20secs
How to Import iTunes Videos Into iMovie or FCP with Tune4mac iTunes Video Converter Platinum,Download and Launch the program,11-20secs
How to Create a Project in iMovie,Click Create,21-30secs
How to Prevent a Horse From Colicking,Keep your horse's living quarters clean,31-40secs
How to Prevent a Horse From Colicking,Adjust your feeding schedule,1-10secs
How to Prevent a Horse From Colicking,Increase the amount of daily exercise,1-10secs
How to Create a Custom Macro Button in Excel,Place your button,11-20secs
How to Make a Hillbilly Costume,Invest in fake teeth,51-60secs
How to Fix Your Internet Connection,Ensure that you have a network connection,1-10secs
How to Hang Lights on a Christmas Tree,Mentally divide the tree into three triangles,11-20secs
How to Hang Lights on a Christmas Tree,Take the first string of lights in your hands,41-50secs
How to Hang Lights on a Christmas Tree,Start weaving the lights back and forth,1-10secs
How to Hang Lights on a Christmas Tree,Work your way down to the bottom,1-10secs
How to Hang Lights on a Christmas Tree,Repeat on the other two sides,41-50secs
How to Hang Lights on a Christmas Tree,Plug in the lights into an electrical outlet once you are done applying them to the tree,11-20secs
How to Give Good Relationship Advice,Let them do the talking,51-60secs
How to Make Fancy Birthday Cards,Gather your supplies,1-10secs
How to Make Halloween Pumpkin Jell O Treats,Remove the peaches from the can,31-40secs
How to Add Multiple Time Zones to Your Clock on Windows,Click the current time,51-60secs
How to Add Multiple Time Zones to Your Clock on Windows,Click OK. You can now view the current time and the time zone you added by just clicking on the current time displayed on the System Tray,51-60secs
How to Cut a Pumpkin,Use an appropriate knife,11-20secs
How to Make a Weekly Calendar for Kids (Visual),Create seven columns on a piece of white construction paper,41-50secs
How to Register to Vote in Arizona,See if you're eligible,51-60secs
How to Find Many Ways to Have Fun with a Friend,Play paper games,31-40secs
How to Draw Flowcharts with Word 200,Create your other shapes,31-40secs
How to Change the Position of the Wbar Dock in AV Linux,Browse the /usr folder as root,11-20secs
How to Change the Position of the Wbar Dock in AV Linux,Save the document and close the window,1-10secs
How to Ditch Insincere Friends,Identify the friends who bring negativity to your life,31-40secs
How to Do Freelance Graphic Design,Go to school,51-60secs
How to Use a Bluetooth Device,Connect your devices,31-40secs
How to Use Audio Effects in Avs Audio Editor,Download AVS Audio Editor,51-60secs
How to Make a Doll Video,Press the pause bottom when you want move the heads or legs,1-10secs
How to Configure a Laptop to a Wireless Router,Select a network privacy option,11-20secs
How to Grow Hips With Exercise,Give the alternative side lunge a try,41-50secs
How to Grow Hips With Exercise,Do a traditional squat,11-20secs
How to Convert WMV to AVI,Find the exact name of the video file,11-20secs
How to Convert WMV to AVI,Find your newly-converted file,31-40secs
How to Encourage Healthy Eating in Schools,Choose a health coordinator for the school,21-30secs
How to Make a Google Spreadsheet,Launch Google Sheets,1-10secs
How to Create a Gantt Chart,Understand the work breakdown structure,1-10secs
How to Remove a Broken Contact Lens,Remove larger pieces,1-10secs
How to Remove a Broken Contact Lens,Flush your eye to get rid of any remaining pieces,51-60secs
How to Clean a Contact Lens Case,Scrub the inside of the case,21-30secs
How to Clean a Contact Lens Case,Rinse out the case with a lens solution,11-20secs
How to Work With Different Versions of Windows Movie Maker on Windows,If you have installed Windows Movie Maker 6 on Windows 7.If you are going to install Windows Movie Maker 2.1 for Windows XP,11-20secs
How to Do a Successful Voice Over,Know how to convey emotion,21-30secs
How to Cure Cold Sores With Care,Keep your hands off the sore,31-40secs
How to Protect Your Vision As You Age,Exercise regularly,1-10secs
How to Protect Your Vision As You Age,Wear sunglasses or a wide-brim hat,11-20secs
How to Protect Your Vision As You Age,Use protective eyewear,11-20secs
How to Protect Your Vision As You Age,Drink alcohol in moderation,1-10secs
How to Survive Your First Period,Do not freak out,21-30secs
How to Organize an Electronic Filing System,Create a new folder,31-40secs
How to Lift a Heavy Object Safely,Carry or hold the item,51-60secs
